erc,title,description,topic,topic_secondary,topic_confidence,topic_other,status,type,category,created,last_call_deadline,withdrawal_reason,author,authors_normalized,requires,required_by,referenced_ercs,in_degree,out_degree,pagerank,dependency_depth,has_security_considerations,has_test_cases,has_reference_impl,spec_word_count,section_count,discussions_to,one_line_summary,notes
20,Token Standard,,tokens-fungible,,high,,Final,Standards Track,ERC,2015-11-19,,,"Fabian Vogelsteller <fabian@ethereum.org>, Vitalik Buterin <vitalik.buterin@ethereum.org>",Fabian Vogelsteller <fabian@ethereum.org>;Vitalik Buterin <vitalik.buterin@ethereum.org>,,681;823;998;1046;1077;1081;1175;1337;1363;1450;1462;1633;1996;2019;2020;2021;2612;2767;2980;3009;3135;3475;3525;3643;4524;4626;4931;4950;4987;5058;5095;5115;5143;5169;5216;5252;5507;5528;5553;5679;5744;5827;6093;6105;6120;6353;6604;6682;6808;6823;6864;6932;7144;7196;7246;7390;7399;7410;7417;7425;7528;7535;7538;7540;7575;7586;7590;7595;7621;7629;7631;7641;7651;7656;7674;7681;7699;7720;7729;7758;7770;7776;7787;7795;7811;7818;7878;7893;7920;7945;7962;7968;7994;8017;8033;8040;8054;8056;8063;8065;8085;8106;8183;8255,,104,0,0.06101431,0,False,False,False,736,22,,Standard interface for tokens with transfer and approval functions.,Core foundational ERC; implements allowance-based approvals for delegated transfers.
55,Mixed-case checksum address encoding,,infrastructure-meta,,high,,Final,Standards Track,ERC,2016-01-14,,,"Vitalik Buterin <vitalik.buterin@ethereum.org>, Alex Van de Sande <avsa@ethereum.org>",Vitalik Buterin <vitalik.buterin@ethereum.org>;Alex Van de Sande <avsa@ethereum.org>,,1191;4361;5375;6735;7015;7528;7831;7876;8117,,9,0,0.00649331,0,False,True,False,360,7,https://github.com/ethereum/eips/issues/55,Mixed-case checksum address encoding for error detection.,Encoding/addressing standard; enables 15 check bits per address reducing typo errors.
67,"URI Scheme with Metadata, Value and Bytecode",Format for encoding transactions into a URI,infrastructure-meta,,medium,,Withdrawn,Standards Track,ERC,2016-02-17,,Superseded by EIP-681,Alex Van de Sande (@alexvansande),Alex Van de Sande (@alexvansande),,831,681,1,0,0.00151069,0,True,False,False,522,9,https://github.com/ethereum/EIPs/issues/67,URI scheme for encoding Ethereum transactions with metadata and bytecode.,Withdrawn; superseded by EIP-681. Format for wallet transaction requests.
137,Ethereum Domain Name Service - Specification,,reputation-identity,infrastructure-meta,high,,Final,Standards Track,ERC,2016-04-04,,,Nick Johnson <arachnid@notdot.net>,Nick Johnson <arachnid@notdot.net>,,205;634;681;1185;1844;2304;2390;2525;2544;4361;4804;4972;5131;5298;6821;6860;7406;7831;8107,165,19,0,0.01459424,0,False,False,False,2365,15,,"Ethereum Name Service registry, resolver, and registrar architecture.",Foundational naming infrastructure; enables human-readable address resolution via hierarchical domain system.
162,Initial ENS Hash Registrar,,reputation-identity,infrastructure-meta,high,,Final,Standards Track,ERC,2016-10-25,,,"Maurelian, Nick Johnson  <nick@ethereum.org>, Alex Van de Sande <avsa@ethereum.org>",Maurelian;Nick Johnson  <nick@ethereum.org>;Alex Van de Sande <avsa@ethereum.org>,,,137,0,0,0.00094087,0,False,False,False,2789,23,,Initial ENS hash registrar implementing Vickrey auction for name allocation.,Implements auction mechanism for .eth domain registration; deed-based collateral model.
165,Standard Interface Detection,,infrastructure-meta,,high,,Final,Standards Track,ERC,2018-01-23,,,"Christian Reitwießner <chris@ethereum.org>, Nick Johnson <nick@ethereum.org>, Fabian Vogelsteller <fabian@lukso.network>, Jordi Baylina <jordi@baylina.cat>, Konrad Feldmeier <konrad.feldmeier@brainbot.com>, William Entriken <github.com@phor.net>",Christian Reitwießner <chris@ethereum.org>;Nick Johnson <nick@ethereum.org>;Fabian Vogelsteller <fabian@lukso.network>;Jordi Baylina <jordi@baylina.cat>;Konrad Feldmeier <konrad.feldmeier@brainbot.com>;William Entriken <github.com@phor.net>,214,634;721;725;820;926;998;1155;1261;1337;1363;1417;1450;1616;1633;1761;1820;1844;1922;1923;2135;2390;2477;2615;2767;2981;3386;3525;4353;4393;4400;4494;4519;4524;4671;4675;4799;4885;4906;4907;4910;4973;4974;4987;5005;5006;5007;5008;5023;5050;5058;5169;5173;5187;5192;5216;5289;5313;5334;5380;5409;5437;5453;5484;5489;5501;5507;5516;5521;5560;5604;5633;5635;5646;5679;5700;5727;5732;5750;5753;5773;5827;5982;6059;6066;6105;6120;6147;6150;6220;6239;6268;6315;6381;6454;6464;6551;6604;6672;6785;6786;6900;6909;6956;6982;7007;7066;7092;7160;7204;7208;7231;7291;7401;7409;7410;7417;7432;7439;7444;7496;7498;7508;7513;7518;7527;7531;7540;7546;7548;7564;7574;7575;7578;7579;7585;7586;7589;7590;7603;7604;7621;7629;7632;7634;7651;7652;7656;7695;7699;7721;7765;7802;7829;7831;7858;7861;7866;7878;7887;7893;7897;7943;7984;7992;7996;8034;8047;8048;8049;8056;8063;8065;8161;8199;8226;8257;8273,214,177,0,0.15582289,0,False,True,False,1147,14,,Standard interface detection method for contracts using interface identifiers.,Foundational meta-protocol; enables contracts to query/publish supported interfaces via XOR of function selectors.
173,Contract Ownership Standard,A standard interface for ownership of contracts,security-permissions,,high,,Final,Standards Track,ERC,2018-06-07,,,"Nick Mudge (@mudgen), Dan Finlay <dan@danfinlay.com>",Nick Mudge (@mudgen);Dan Finlay <dan@danfinlay.com>,,725;1261;2767;3643;5050;5313;7291;7621;7738;8199,165,10,0,0.00490793,0,True,False,False,820,7,https://github.com/ethereum/EIPs/issues/173,Contract ownership standard with transfer mechanism and owner query.,Generic access control for single-owner pattern; widely reused in contract governance.
181,ENS support for reverse resolution of Ethereum addresses,,reputation-identity,infrastructure-meta,high,,Final,Standards Track,ERC,2016-12-01,,,Nick Johnson <arachnid@notdot.net>,Nick Johnson <arachnid@notdot.net>,,205;5131,137,2,0,0.00160733,0,False,False,False,1158,10,,ENS reverse resolution enabling human-readable names for Ethereum addresses.,Extends ENS to support addr.reverse lookups; allows addresses to claim authoritative names.
190,Ethereum Smart Contract Packaging Standard,,infrastructure-meta,,high,,Final,Standards Track,ERC,2017-01-10,,,"Piper Merriam (@pipermerriam), Tim Coulter (@tcoulter), Denis Erfurt (@mhhf), RJ Catalano (@VoR0220), Iuri Matias (@iurimatias)",Piper Merriam (@pipermerriam);Tim Coulter (@tcoulter);Denis Erfurt (@mhhf);RJ Catalano (@VoR0220);Iuri Matias (@iurimatias),,,137,0,0,0.00094087,0,False,False,False,580,10,,Ethereum smart contract packaging standard with release lockfile specification.,Meta-standard for contract distribution; enables deterministic builds and bytecode verification.
191,Signed Data Standard,,security-permissions,,high,,Final,Standards Track,ERC,2016-01-20,,,"Martin Holst Swende (@holiman), Nick Johnson <arachnid@notdot.net>",Martin Holst Swende (@holiman);Nick Johnson <arachnid@notdot.net>,,1077;1078;1484;3224;4361;5791;7405;7739;7871;8126;8196,,11,0,0.00603041,0,False,False,False,617,10,https://github.com/ethereum/EIPs/issues/191,Standard for signed data format preventing replay attacks and signature ambiguity.,Defines 0x19 prefix scheme with version bytes; supports personal_sign and structured data contexts.
